manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
TESLA (USA),Model 3,AAS,2019,E,Brandenburg,37
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Brandenburg,0
VOLKSWAGEN (D),GOLF,CBP,2019,E,Brandenburg,71
VOLKSWAGEN (D),UP!,BKY,2019,E,Brandenburg,15
VOLKSWAGEN (D),UP!,CKJ,2019,E,Brandenburg,0
AUDI (D),e-tron 55,BSL,2019,E,Bremen,0
AUDI (D),Audi e-tron,BPG,2019,E,Bremen,13
BMW,"i3,i3s",BSI,2019,E,Bremen,51
BMW,Cooper SE,CYC,2019,E,Bremen,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Bremen,1
DAIMLER (D),eVito Tourer,IAT,2019,E,Bremen,0
DAIMLER (D),eVito Tourer,IAU,2019,E,Bremen,0
DAIMLER (D),forfour ed,GON,2019,E,Bremen,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Bremen,1
DAIMLER (D),EQ forfour,HSE,2019,E,Bremen,10
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Bremen,8
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Bremen,23
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Bremen,16
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Bremen,13
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Bremen,9
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Bremen,13
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Bremen,2
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Bremen,2
KIA MOTOR (ROK),NIRO,AIB,2019,E,Bremen,2
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Bremen,1
KIA MOTOR (ROK),SOUL,AIH,2019,E,Bremen,5
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Bremen,10
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Bremen,2
OPEL,Ampera-e,AGT,2019,E,Bremen,0
PEUGEOT (F),iOn,AOG,2019,E,Bremen,0
RENAULT (F),ZOE,AZX,2019,E,Bremen,24
RENAULT (F),ZOE,BIA,2019,E,Bremen,26
RENAULT (F),ZOE,BMT,2019,E,Bremen,9
TESLA (USA),Model S,AAK,2019,E,Bremen,1
TESLA (USA),Model S,AAL,2019,E,Bremen,1
TESLA (USA),Model S,AAT,2019,E,Bremen,2
TESLA (USA),Model S,AAV,2019,E,Bremen,0
TESLA (USA),Model X,AAO,2019,E,Bremen,1
TESLA (USA),Model X,AAP,2019,E,Bremen,2
TESLA (USA),Model X,AAU,2019,E,Bremen,1
TESLA (USA),Model X,AAW,2019,E,Bremen,0
TESLA (USA),Model 3,AAQ,2019,E,Bremen,9
TESLA (USA),Model 3,AAR,2019,E,Bremen,35
TESLA (USA),Model 3,AAS,2019,E,Bremen,17
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Bremen,0
VOLKSWAGEN (D),GOLF,CBP,2019,E,Bremen,27
VOLKSWAGEN (D),UP!,BKY,2019,E,Bremen,6
VOLKSWAGEN (D),UP!,CKJ,2019,E,Bremen,0
AUDI (D),e-tron 55,BSL,2019,E,Hamburg,1
AUDI (D),Audi e-tron,BPG,2019,E,Hamburg,65
BMW,"i3,i3s",BSI,2019,E,Hamburg,200
BMW,Cooper SE,CYC,2019,E,Hamburg,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Hamburg,0
DAIMLER (D),eVito Tourer,IAT,2019,E,Hamburg,0
DAIMLER (D),eVito Tourer,IAU,2019,E,Hamburg,6
DAIMLER (D),forfour ed,GON,2019,E,Hamburg,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Hamburg,5
DAIMLER (D),EQ forfour,HSE,2019,E,Hamburg,35
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Hamburg,63
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Hamburg,249
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Hamburg,4
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Hamburg,16
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Hamburg,15
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Hamburg,29
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Hamburg,2
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Hamburg,33
KIA MOTOR (ROK),NIRO,AIB,2019,E,Hamburg,5
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Hamburg,1
KIA MOTOR (ROK),SOUL,AIH,2019,E,Hamburg,10
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Hamburg,48
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Hamburg,18
OPEL,Ampera-e,AGT,2019,E,Hamburg,3
PEUGEOT (F),iOn,AOG,2019,E,Hamburg,0
RENAULT (F),ZOE,AZX,2019,E,Hamburg,24
RENAULT (F),ZOE,BIA,2019,E,Hamburg,142
